Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Fwd Packet Length Mean,Bwd Packet Length Mean,Fwd Packets/s,Bwd Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Down/Up Ratio,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes
29461421.96655273,15.851237612705203,0.0678853859216497,2,0,467,0,212,255,233.5,21.5,462.25,233.5,233.5,0,0.0678853859216497,0.0,29.46142196655273,0.0,29.46142196655273,29.46142196655273,0.0,2,467,0,0
7490263.938903809,55.27175055203574,0.4005199315364909,3,0,414,0,138,138,138.0,0.0,0.0,138.0,138.0,0,0.4005199315364909,0.0,3.745131969451904,2.2597551345825195,6.004887104034424,1.4853768348693848,0.0,3,414,0,0
5298757.076263428,67.94046128528399,0.7548940142809333,4,0,360,0,54,126,90.0,36.0,1296.0,90.0,90.0,0,0.7548940142809333,0.0,1.7662523587544758,1.2615797734401828,3.298624992370605,0.2087059020996093,0.0,4,360,0,0
6135245.084762573,196.2431791013925,0.3259853473445059,2,0,1204,0,602,602,602.0,0.0,0.0,602.0,602.0,0,0.3259853473445059,0.0,6.135245084762573,0.0,6.135245084762573,6.135245084762573,0.0,2,1204,0,0
5307904.005050659,122.45888384219116,1.1303896970048417,6,0,650,0,54,280,108.33333333333331,80.96432684968252,6555.222222222223,108.33333333333331,108.33333333333331,0,1.1303896970048417,0.0,1.0615808010101315,1.062231226594619,2.758687973022461,0.016834020614624,0.0,6,650,0,0
5298491.00112915,83.41997748147658,0.9436649036366128,5,0,442,0,54,128,88.4,32.38271143681455,1048.64,88.4,88.4,0,0.9436649036366128,0.0,1.3246227502822876,0.9749287618596574,2.673332929611206,0.3612768650054931,0.0,5,442,0,0
8262217.998504639,145.72358175709107,0.2420657504270615,2,0,1204,0,602,602,602.0,0.0,0.0,602.0,602.0,0,0.2420657504270615,0.0,8.262217998504639,0.0,8.262217998504639,8.262217998504639,0.0,2,1204,0,0
10011372.089385986,10.987504911202084,0.1997728165673106,2,0,110,0,55,55,55.0,0.0,0.0,55.0,55.0,0,0.1997728165673106,0.0,10.011372089385986,0.0,10.011372089385986,10.011372089385986,0.0,2,110,0,0
10026871.919631958,13.16462412784516,0.1994640019370478,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.1994640019370478,0.0,10.026871919631958,0.0,10.026871919631958,10.026871919631958,0.0,2,132,0,0
5011070.013046265,926.349060762393,2.195139954413253,11,0,4642,0,54,1472,422.0,525.3847075325764,276029.0909090909,422.0,422.0,0,2.195139954413253,0.0,0.5011070013046265,0.5813963428479526,1.4316020011901855,0.0,0.0,11,4642,0,0
